Drug,Disease
0,277
1,8
2,163
3,35
3,306
3,418
3,607
3,668
4,235
4,459
5,25
5,253
5,558
6,163
7,514
8,0
8,111
8,191
8,214
8,282
8,283
8,286
9,7
10,280
11,439
11,604
11,605
11,676
12,32
12,118
12,184
12,200
12,252
12,294
12,423
12,433
12,446
12,630
12,637
13,57
14,158
14,229
14,242
14,267
14,327
14,348
14,553
15,451
15,458
16,551
16,570
17,259
18,42
18,43
18,172
18,308
18,315
18,321
18,523
18,610
18,638
19,176
19,467
20,158
20,229
20,242
20,267
20,327
20,348
20,553
21,528
22,74
22,192
22,411
22,513
22,537
22,561
23,55
23,150
23,187
23,306
23,314
23,493
24,79
24,148
24,429
24,508
25,44
25,57
25,75
25,81
25,82
25,522
26,145
26,642
27,606
27,668
28,157
28,459
29,647
30,36
30,306
31,157
31,516
32,11
32,69
32,113
32,173
32,275
32,364
32,373
32,454
32,569
32,571
32,576
32,594
32,656
33,11
33,69
33,175
33,193
33,217
33,258
33,266
33,346
33,364
33,391
33,396
33,484
33,501
33,537
33,548
33,571
33,576
33,587
33,602
33,656
34,8
35,492
35,613
36,79
37,58
37,190
37,418
37,521
37,614
37,665
38,442
39,614
39,665
40,57
41,613
41,614
42,554
43,361
44,53
44,235
44,259
44,327
44,448
44,459
44,542
45,35
45,58
45,59
45,273
45,306
45,418
45,606
45,607
45,668
46,60
47,142
47,298
47,302
47,310
48,489
48,632
49,75
49,171
49,271
49,568
49,592
49,660
50,544
50,657
51,53
51,124
51,145
51,372
51,406
51,525
52,7
52,547
53,137
53,544
53,545
54,113
54,266
54,412
54,425
54,454
54,487
54,573
54,587
54,594
54,625
54,649
55,251
55,513
55,537
55,561
55,573
55,656
56,217
56,258
56,266
56,364
56,537
56,594
56,656
57,138
57,201
57,228
57,571
57,576
57,587
57,588
57,594
57,677
58,109
58,287
58,293
58,406
58,409
58,417
58,460
58,580
58,581
58,582
58,585
58,639
58,653
59,124
60,57
60,544
61,165
61,273
61,306
61,667
62,187
62,273
62,306
62,431
63,85
63,182
63,238
63,278
63,284
63,422
63,447
63,453
63,454
63,511
63,626
63,672
64,144
64,287
65,422
65,672
66,187
66,273
66,306
66,431
67,2
67,467
68,35
68,306
69,161
69,162
69,229
69,242
69,267
69,327
69,348
69,512
69,514
69,553
70,255
70,306
71,2
71,246
71,653
71,655
72,376
73,508
74,255
75,171
75,467
76,175
76,217
76,275
76,671
77,35
77,273
77,306
77,418
77,606
78,102
