Name,ID,Smiles
Carnitine,DB00583,C[N+](C)(C)C[C@H](O)CC([O-])=O
GABA,DB02530,NCCCC(O)=O
Delta-aminolevulinic acid,DB00855,NCC(=O)CCC(O)=O
Leucovorin,DB00650,[H]C(=O)N1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2
PGE2,DB00917,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
Prostacyclin,DB01240,[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)CCCCC)[C@@]1([H])C\C(O2)=C\CCCC(O)=O
Acetate,DB14511,CC([O-])=O
Acetylcholine,DB03128,CC(=O)OCC[N+](C)(C)C
Adenosine,DB00640,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
Galactose,DB11735,[H]C(=O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
Prostaglandin E1,DB00770,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O
L-arginine,DB17289,C(C[C@@H](C(=O)O)N)CNC(=N)N
Betaine,DB06756,C[N+](C)(C)CC([O-])=O
Calcium,DB01373,[Ca]
Chloramphenicol,DB00446,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O
Cycloserine,DB00260,N[C@@H]1CONC1=O
Bupropion,DB01156,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
Estradiol,DB00783,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
Mannitol,DB00742,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
ACA,,CCCCCC1=CC=C(C=C1)C=CC(=O)NC2=CC=CC=C2C(=O)O
N-acetylcysteine,DB06151,CC(=O)N[C@@H](CS)C(O)=O
Cytosine arabinoside,DB00987,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
Mesna,DB09110,OS(=O)(=O)CCS
Lactate,DB13231,[Ca++].CC(O)C([O-])=O.CC(O)C([O-])=O
Dopamine,DB00988,NCCC1=CC(O)=C(O)C=C1
Lindane,DB00431,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
Polyglutamine,DB00130,N[C@@H](CCC(N)=O)C(O)=O
GLY,DB00145,NCC(O)=O
Bicarbonate,DB11098,[K+].OC([O-])=O
Heparin,DB01109,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
Iodine,DB05382,II
Kanamycin,DB01172,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
Epinephrine,DB00668,CNC[C@H](O)C1=CC(O)=C(O)C=C1
Thyroxine,DB00451,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
Triiodothyronine,DB00279,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
Magnesium,DB14513,[MgH2]
Nicotinic acid,DB00627,OC(=O)C1=CN=CC=C1
Nicotine,DB00184,CN1CCC[C@H]1C1=CN=CC=C1
Norepinephrine,DB00368,NC[C@H](O)C1=CC(O)=C(O)C=C1
Phosphate,DB14669,[H][C@@]12C[C@H](C)[C@](O)(C(=O)COP(O)(O)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Pyrazinamide,DB00339,NC(=O)C1=NC=CN=C1
Quinidine,DB00908,[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1
Vitamin A,DB00162,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
Tetrahydrobiopterin,DB00360,[H][C@@]1(CNC2=C(N1)C(=O)NC(N)=N2)[C@@H](O)[C@H](C)O
Thymidine,DB04485,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O
L-tryptophan,DB00150,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O
Methamphetamine,DB01577,CN[C@@H](C)CC1=CC=CC=C1
Naproxen,DB00788,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O
2-chlorodeoxyadenosine,DB00242,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
Doxorubicin,DB00997,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
Phenytoin,DB00252,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
THA,DB00382,NC1=C2CCCCC2=NC2=CC=CC=C12
Abacavir,DB01048,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1
Amphotericin B,DB00681,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2
Acebutolol,DB01193,CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=C1)C(C)=O
Acetazolamide,DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
Actinomycin D,DB00970,[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C
Spectinomycin,DB00919,[H][C@@]12O[C@H](C)CC(=O)[C@]1(O)O[C@]1([H])[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@@]1([H])O2
Acyclovir,DB00787,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2
Albendazole,DB00518,CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2
Salbutamol,DB01001,CC(C)(C)NCC(O)C1=CC(CO)=C(O)C=C1
Alendronate,DB00630,NCCCC(O)(P(O)(O)=O)P(O)(O)=O
Alfuzosin,DB00346,COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N(C)CCCNC(=O)C1CCCO1
Alosetron,DB00969,CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)NC=N1)CC2
Alprazolam,DB00404,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
HTM,DB00488,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
Amantadine,DB00915,NC12CC3CC(CC(C3)C1)C2
Ambenonium,DB01122,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl
Amcinonide,DB00288,[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Iothalamate,DB09133,CNC(=O)C1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I
Amifostine,DB01143,NCCCNCCSP(O)(O)=O
Amikacin,DB00479,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
Aminoglutethimide,DB00357,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
P-aminohippuric acid,DB00345,NC1=CC=C(C=C1)C(=O)NCC(O)=O
Theophylline,DB00277,CN1C2=C(NC=N2)C(=O)N(C)C1=O
Amiodarone,DB01118,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2
Amitriptyline,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
Amlodipine,DB00381,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
Amoxapine,DB00543,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
Amoxicillin,DB01060,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O
Ampicillin,DB00415,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
Amprenavir,DB00701,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1
Amsacrine,DB00276,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
Anagrelide,DB00261,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
Anastrozole,DB01217,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
Apomorphine,DB00714,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23
Apraclonidine,DB00964,NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1
