Drug,Target
0,53
0,109
0,237
0,256
0,308
0,565
0,649
0,786
0,1027
0,1173
0,1257
0,1259
0,1453
1,154
1,269
1,617
1,618
1,717
1,1020
1,1098
2,354
2,395
2,456
2,508
2,630
2,948
2,1534
2,1536
3,43
3,199
3,886
3,1154
3,1407
3,1452
4,445
4,709
4,789
4,860
4,1172
6,230
6,287
6,507
6,530
6,742
6,780
6,954
7,178
7,421
7,511
7,769
7,772
7,807
7,1288
7,1452
8,285
8,337
8,522
8,1461
9,109
9,237
9,256
9,308
9,461
9,565
9,649
9,786
9,1173
9,1257
9,1259
9,1453
9,1485
10,6
10,243
10,253
10,265
10,285
10,293
10,348
10,440
10,607
10,671
10,695
10,709
10,717
10,789
10,808
10,823
10,827
10,840
10,854
10,871
10,874
10,885
10,920
10,958
10,965
10,1008
10,1018
10,1020
10,1066
10,1154
10,1214
10,1254
10,1257
10,1259
10,1436
10,1461
10,1530
10,1553
11,36
11,38
11,185
11,519
11,839
11,948
11,1001
12,348
12,519
12,761
12,1001
12,1209
13,27
13,38
13,143
13,155
13,184
13,392
13,471
13,504
13,511
13,519
13,708
13,709
13,769
13,807
13,839
13,936
13,948
13,1000
13,1001
13,1039
13,1059
13,1066
13,1224
13,1235
13,1452
13,1553
14,178
14,345
14,508
14,834
14,869
14,1055
14,1258
14,1479
14,1526
15,461
15,1257
17,6
17,243
17,253
17,265
17,285
17,440
17,471
17,504
17,534
17,607
17,671
17,807
17,808
17,823
17,827
17,840
17,871
17,874
17,958
17,965
17,1018
17,1020
17,1056
17,1066
17,1214
17,1246
17,1254
17,1288
17,1340
17,1380
17,1436
17,1461
18,98
18,561
18,1101
19,91
19,319
19,412
19,413
19,511
19,762
19,769
19,785
19,807
19,948
19,1056
19,1149
19,1288
19,1385
19,1394
19,1402
19,1407
20,38
20,155
20,178
20,184
20,185
20,199
20,216
20,280
20,445
20,506
20,519
20,534
20,585
20,665
20,759
20,789
20,886
20,948
20,1001
20,1048
20,1098
20,1130
20,1154
20,1372
20,1390
20,1407
21,91
22,60
22,162
22,199
22,472
22,503
22,506
22,511
22,532
22,709
22,764
22,769
22,772
22,808
22,886
22,891
22,1001
22,1070
22,1154
22,1209
22,1213
22,1343
22,1407
22,1409
22,1420
22,1459
22,1461
23,339
23,939
23,1160
24,25
24,32
24,42
24,46
24,62
24,110
24,111
24,112
24,126
24,132
